0,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,31,UTTAR PRADESH,3180,KASHGANJ,53976,0,0,0,0,32,400,7966,0,0,25465,0,87,0,7.4393807,0,0,79031,112124,0,113924,155077,7998,7.4393807,0,9,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3183,SHAMLI,6744,0,0,0,0,7,150,4414,0,0,3377,0,52,0,12.7055622,0,0,16419,21136,0,46778,56207,4421,12.7055622,0,12,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3110,MORADABAD,77493,193693.1449,4,0,0,234,469,15122,70,1,30801,0,113,0,135.5852014,17,17,107218,147102,0,190617,263391,15356,135.5852014,43,17,95.95,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3114,MUZAFFARNAGAR,23951,1541.747368,5,0,0,78,491,5074,95,0,11036,0,74,0,1.46466,19,19,31549,40000,0,78580,94337,5152,1.46466,15,7,14.56,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3122,ETAH,34539,58455.08182,6,0,0,307,489,12458,66,0,20783,0,53,0,38.580354,11,12,82713,104291,0,145061,180363,12765,38.580354,33,10,48.8,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3128,KHERI,605295,10168.57532,2,0,0,205,965,29071,697,224,136243,2,6411,0,70.87497,245,264,247226,365084,0,488824,679470,29276,70.87497,69,25,21.32,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3133,RAE BARELI,106379,5638.129407,4,1,0,202,723,22205,708,362,125237,0,141,0,39.9179562,160,169,154557,243501,0,303009,437266,22407,39.9179562,289,12,5.68,7.07,100,NA
2025-2026,April,31,UTTAR PRADESH,3134,FARRUKHABAD,54121,7759.352449,3,0,0,265,523,10397,98,13,21957,0,8,0,7.6041654,32,32,69130,88740,0,112949,139202,10662,7.6041654,77,17,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3135,ETAWAH,56603,24239.42544,2,0,0,78,374,10359,171,102,35888,0,134,0,41.4494175,59,62,77451,97642,0,136844,165070,10437,41.4494175,89,28,11.7,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3144,PRATAPGARH,341639,90229.4717,2,2,0,401,658,25259,352,121,93951,0,535,0,317.6077404,161,161,193534,246944,0,353940,449193,25660,317.6077404,112,24,74.27,10.43,100,NA
2025-2026,April,31,UTTAR PRADESH,3147,GONDA,339514,4709.252979,3,1,0,145,847,23448,1910,567,49973,7,261,0,89.9467319,520,538,155012,197508,0,327109,410874,23593,89.9467319,724,22,18.89,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3149,AYODHYA,224489,4799.758181,4,1,0,1182,294,20542,3717,1066,70192,0,251,0,178.4070116,896,935,127031,178532,0,232076,309339,21724,178.4070116,1613,17,18.66,3.24,100,NA
2025-2026,April,31,UTTAR PRADESH,3169,AURAIYA,141327,401001.7595,1,0,0,62,405,12681,22,10,43185,0,355,0,88.2203871,15,17,83329,104637,0,138474,167658,12743,88.2203871,7,15,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3170,KAUSHAMBI,67983,39328.5,1,0,0,105,353,11623,48,21,49087,0,69,0,18.87768,36,38,75895,105813,0,140304,185876,11728,18.87768,6,38,64.58,10.42,100,NA
2025-2026,April,31,UTTAR PRADESH,3172,KUSHI NAGAR,290061,8775.476891,4,1,0,259,605,24114,1856,431,66289,27,1791,0,162.8728511,416,441,181795,254697,0,375808,505510,24373,162.8728511,563,12,9.15,9.82,100,NA
2025-2026,April,31,UTTAR PRADESH,3177,CHITRAKOOT,90288,9107.585926,2,0,0,44,268,12856,135,80,57889,0,26,0,12.295241,51,63,79380,131573,0,142462,228179,12900,12.295241,71,55,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3183,SHAMLI,6744,9280.005183,9,1,0,84,132,4242,218,0,3377,0,52,0,20.2304113,24,53,16449,21181,0,46867,56350,4326,20.2304113,100,10,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3115,MEERUT,38733,0,0,0,0,2,469,4568,0,0,11756,0,138,0,1.17552,0,0,22428,26410,0,47894,55469,4570,1.17552,0,14,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3123,MAINPURI,288925,91792.2121,1,2,0,110,346,13855,105,17,43134,0,318,0,96.3818227,70,70,123395,162158,0,198617,252651,13965,96.3818227,40,26,12.34,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3135,ETAWAH,56603,3088228.23,1,0,0,71,394,10346,1,1,35884,0,134,0,30.8822823,1,1,77444,97630,0,136715,164908,10417,30.8822823,1,28,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3146,BAHRAICH,1035660,62256.64622,2,5,0,364,693,36289,217,56,68767,0,2286,0,135.0969223,98,100,271316,337145,0,427346,519213,36653,135.0969223,161,54,96.16,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3149,AYODHYA,224489,535446.2483,1,0,0,840,335,20772,29,25,70166,0,251,0,155.279412,16,20,127000,178482,0,232054,309306,21612,155.279412,14,17,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3150,SULTANPUR,471456,674764.6737,1,0,0,200,706,22751,27,3,66239,0,523,0,182.1864619,15,15,204673,249183,0,339439,412975,22951,182.1864619,17,26,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3156,MAU,292755,100429.2695,1,0,0,159,366,17183,130,6,66998,14,2517,0,130.5580503,100,116,141020,184725,0,250452,313689,17342,130.5580503,60,22,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3159,BALLIA,83848,600096.5117,1,0,0,146,862,21206,6,0,43135,0,6988,0,36.0057907,4,4,151357,190877,0,308233,373779,21352,36.0057907,1,15,66.67,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3163,SONBHADRA,199065,0,0,0,0,111,469,15544,0,0,76722,0,77453,0,29.3696852,0,0,163436,255231,0,274579,413994,15655,29.3696852,0,43,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3169,AURAIYA,141327,0,0,0,0,26,428,12706,0,0,43151,0,355,0,31.2257238,0,0,83274,104558,0,138310,167465,12732,31.2257238,0,16,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3174,SANT KABEER NAGAR,420859,12698.42724,3,19,0,461,553,19536,826,268,74329,4,192,0,104.889009,211,211,177187,221976,0,261265,327475,19997,104.889009,648,35,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3180,KASHGANJ,53976,0,0,0,0,92,335,7943,0,0,25466,0,87,0,23.3556914,0,0,79037,112134,0,113925,155082,8035,23.3556914,0,9,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3109,BIJNOR,139821,415726.5,1,0,0,68,950,19634,10,2,111862,0,1023,0,41.57265,7,7,178859,260737,0,266602,370007,19702,41.57265,9,13,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3118,ALIGARH,61861,101429.7681,1,0,0,0,722,17029,26,10,37150,0,199,0,26.3717397,23,23,116539,150671,0,196302,247188,17029,26.3717397,10,19,1.14,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3128,KHERI,605295,0,0,0,0,125,998,29205,0,0,136192,0,6411,0,56.97243,0,0,247196,364967,0,487838,677971,29330,56.97243,0,25,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3130,HARDOI,361775,1780334.5,2,0,0,64,1054,36820,6,2,105500,0,442,0,106.82007,3,3,234557,314958,0,449541,582076,36884,106.82007,6,17,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3131,UNNAO,131546,0,0,0,0,269,865,19720,0,0,59693,0,283,0,48.2029489,0,0,121379,161168,0,267620,342377,19989,48.2029489,0,23,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3133,RAE BARELI,106379,3319972.65,1,0,0,136,762,22250,1,0,125228,0,141,0,33.1997265,1,1,154562,243486,0,302879,437018,22386,33.1997265,1,12,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3141,HAMIRPUR,360562,0,0,0,0,13,309,14115,0,0,40327,0,72,0,4.34802,0,0,112653,181914,0,176146,282497,14128,4.34802,0,40,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3142,BANDA,214974,48328.998,2,0,0,250,297,16401,70,3,45990,0,44,0,33.8302986,34,41,119577,192527,0,227190,352303,16651,33.8302986,19,52,1.19,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3149,AYODHYA,224489,931779.1486,2,0,0,796,393,20778,14,11,70133,0,251,0,130.4490808,5,5,126955,178423,0,232044,309289,21574,130.4490808,6,17,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3155,DEORIA,179947,0,0,0,0,39,965,18527,0,0,37615,0,5535,0,67.5074621,0,0,120963,151304,0,221652,274154,18566,67.5074621,0,12,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3158,JAUNPUR,900276,99053.14,1,1,0,333,1462,37000,83,27,140656,0,27,0,82.2141062,56,56,294502,390577,0,477463,628758,37333,82.2141062,61,35,19.17,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3162,MIRZAPUR,236706,0,0,0,0,38,677,22879,0,0,95636,0,2412,0,28.6325054,0,0,142497,216214,0,273068,392883,22917,28.6325054,0,37,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3163,SONBHADRA,199065,0,0,0,0,59,484,15596,0,0,76720,0,77453,0,22.2313362,0,0,163430,255222,0,274437,413765,15655,22.2313362,0,43,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3168,KANNAUJ,117926,218391.5769,3,0,0,25,408,12270,13,6,37889,0,19,0,28.390905,4,4,88749,113845,0,139205,173109,12295,28.390905,9,20,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3169,AURAIYA,141327,0,0,0,0,8,440,12688,0,0,43128,0,355,0,19.3362888,0,0,83182,104449,0,138234,167368,12696,19.3362888,0,15,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3173,SANT RAVIDAS NAGAR,84481,0,0,0,0,12,484,8825,0,0,35357,0,295,0,17.114911,0,0,64865,89309,0,119755,157997,8837,17.114911,0,32,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,274414,0,0,0,0,435,740,22975,0,0,75188,0,439,0,51.2648432,0,0,146733,196664,0,265278,340096,23410,51.2648432,0,24,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3179,MAHOBA,75986,0,0,0,0,0,259,8733,0,0,21483,0,91,0,3.20661,0,0,44530,80962,0,95724,161831,8733,3.20661,0,39,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3180,KASHGANJ,53976,0,0,0,0,44,383,7960,0,0,25466,0,87,0,12.6715027,0,0,79032,112129,0,113925,155081,8004,12.6715027,0,9,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3181,AMETHI,157893,0,0,0,0,86,552,16569,0,0,54037,0,12,0,33.6923691,0,0,128917,177589,0,228913,299497,16655,33.6923691,0,23,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3183,SHAMLI,6744,0,0,0,0,42,136,4379,0,0,3377,0,52,0,16.3933928,0,0,16445,21174,0,46798,56242,4421,16.3933928,0,12,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3111,RAMPUR,209191,64456.06164,4,0,0,197,475,12988,146,34,34327,0,65,0,94.10585,30,35,111433,145209,0,170918,215922,13185,94.10585,38,8,14.24,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3115,MEERUT,38733,0,0,0,0,96,466,4496,0,0,11750,0,138,0,1.25373,0,0,22424,26406,0,47835,55413,4592,1.25373,0,14,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3118,ALIGARH,61861,4278.95903,2,11,0,13,642,17070,907,316,37166,0,199,0,38.8101584,338,376,116592,150767,0,196340,247275,17083,38.8101584,330,19,1.57,0.06,100,NA
2025-2026,April,31,UTTAR PRADESH,3122,ETAH,34539,53754.58182,6,0,0,297,489,12467,66,0,20783,0,53,0,35.478024,11,12,82717,104293,0,145029,180305,12764,35.478024,33,10,48.8,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3125,BAREILLY,180182,7124.907565,3,1,0,216,886,24130,883,96,53035,0,157,0,62.9129338,253,276,159670,234169,0,277499,381335,24346,62.9129338,246,27,0.72,3.8,100,NA
2025-2026,April,31,UTTAR PRADESH,3128,KHERI,605295,11018.12617,2,0,0,202,965,29202,642,207,136242,2,6411,0,70.73637,230,248,247228,365083,0,488692,679304,29404,70.73637,61,25,23.4,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3132,LUCKNOW,21635,1621.474154,5,0,0,41,407,10752,520,324,47555,4,223,0,8.4316656,102,114,49227,72709,0,129987,193158,10793,8.4316656,115,12,42.01,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3143,FATEHPUR,277077,39251.53298,3,0,0,402,582,16188,329,81,69179,0,120,0,129.1375435,101,102,149945,187385,0,263918,320842,16590,129.1375435,171,21,82.41,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3124,BUDAUN,205520,543.073416,8,15,0,226,758,18169,15641,2924,34346,19,158,0,84.942113,1887,1979,132278,170786,0,234125,295196,18395,84.942113,5219,15,34,34.93,100,NA
2025-2026,April,31,UTTAR PRADESH,3136,KANPUR DEHAT,79181,569.1869719,7,5,0,334,482,13998,6519,2753,44571,0,106,0,37.1052987,840,885,77777,106392,0,158111,205391,14332,37.1052987,1836,23,47.39,77.84,100,NA
2025-2026,April,31,UTTAR PRADESH,3143,FATEHPUR,277077,2179.165683,9,6,0,598,533,16004,6644,2022,69194,19,120,0,144.783768,726,753,149970,187444,0,264443,321494,16602,144.783768,3235,21,30.87,30.69,100,NA
2025-2026,April,31,UTTAR PRADESH,3149,AYODHYA,224489,556.0133222,7,8,0,2203,230,19760,54443,19811,70221,92,251,0,302.710333,7234,7546,127092,178626,0,232234,309542,21963,302.710333,24493,17,34.67,67.62,100,NA
2025-2026,April,31,UTTAR PRADESH,3151,SIDDHARTH NAGAR,985471,378.5293246,9,8,0,777,812,22039,63992,15636,80165,0,15,0,242.2284854,6701,7170,256635,340975,0,381361,497975,22816,242.2284854,37425,14,53.35,72.17,100,NA
2025-2026,April,31,UTTAR PRADESH,3152,MAHARAJGANJ,386626,899.7460353,8,7,0,1125,629,27393,17053,4106,74742,41,1724,0,153.4336914,1947,2109,226260,332992,0,369875,519577,28518,153.4336914,8656,17,38.92,77.18,100,NA
2025-2026,April,31,UTTAR PRADESH,3172,KUSHI NAGAR,290061,550.2873622,8,20,0,608,532,24092,49652,13748,66331,343,1792,0,273.2286811,5849,6549,181811,254873,0,377320,507663,24700,273.2286811,21117,12,51.32,61.03,100,NA
2025-2026,April,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,274414,443.8001694,10,4,0,965,615,22734,28573,11004,75275,32,439,0,126.8070224,2705,2828,146872,196931,0,266965,342316,23699,126.8070224,15033,25,29.94,63.5,100,NA
2025-2026,April,31,UTTAR PRADESH,3182,HAPUR,4161,0,0,0,0,49,272,1235,0,0,4412,0,4,0,0.03081,0,0,8189,9674,0,16742,20363,1284,0.03081,0,5,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3112,SAHARANPUR,61955,419.7599299,8,3,0,360,414,13340,28808,11394,65841,23,276,0,120.9244406,3519,3830,84999,127068,0,163770,226433,13700,120.9244406,11782,21,54.83,55.79,100,NA
2025-2026,April,31,UTTAR PRADESH,3118,ALIGARH,61861,390.0760311,6,104,0,66,422,17289,21797,4123,37196,19,199,0,85.0248725,3447,3723,116776,150988,0,196455,247514,17355,85.0248725,8188,20,12.7,14.07,100,NA
2025-2026,April,31,UTTAR PRADESH,3121,FIROZABAD,273904,273.7108775,12,11,0,674,385,14052,31087,8890,34157,0,208,0,85.0885005,2413,2441,107180,132569,0,157607,192496,14726,85.0885005,14672,18,76.89,80.58,100,NA
2025-2026,April,31,UTTAR PRADESH,3124,BUDAUN,205520,363.0920334,9,18,0,290,716,18076,28971,5095,34357,30,158,0,105.191393,3144,3258,132310,170889,0,234404,295737,18366,105.191393,9689,14,29.98,36.29,100,NA
2025-2026,April,31,UTTAR PRADESH,3127,SHAHJAHANPUR,241743,358.6215705,9,72,0,672,525,18239,34505,9563,66903,51,82,0,123.7423729,3644,3890,160691,225866,0,339794,443268,18911,123.7423729,14014,20,25.72,29.96,100,NA
2025-2026,April,31,UTTAR PRADESH,3137,KANPUR NAGAR,40020,250.8974848,9,14,0,309,324,9708,16086,5152,32955,95,849,0,40.3593694,1642,1726,54941,78394,0,117872,156779,10017,40.3593694,8076,20,9.51,32.67,100,NA
2025-2026,April,31,UTTAR PRADESH,3144,PRATAPGARH,341639,387.508566,13,27,0,659,561,25351,151017,51468,93952,676,535,0,585.2038111,10870,11234,193562,247004,0,355494,451148,26010,585.2038111,82011,24,46.78,89.23,100,NA
2025-2026,April,31,UTTAR PRADESH,3146,BAHRAICH,1035660,347.3639478,13,80,0,793,351,36260,150806,28457,68837,37,2292,0,523.8456751,10970,11833,271722,337681,0,428740,520976,37053,523.8456751,69677,54,31.75,67.4,100,NA
2025-2026,April,31,UTTAR PRADESH,3153,BASTI,1067638,2444.014053,12,4,0,1092,632,26199,8767,2117,94852,0,46,0,214.266712,678,717,281315,354130,0,408829,508306,27291,214.266712,5850,17,18.16,19.42,100,NA
2025-2026,April,31,UTTAR PRADESH,3158,JAUNPUR,900276,335.26874,12,93,0,1500,1036,36703,95218,31002,140829,56,27,0,319.2361889,7407,7568,294637,391091,0,478746,631824,38203,319.2361889,54479,36,51.3,58.18,100,NA
2025-2026,April,31,UTTAR PRADESH,3159,BALLIA,83848,315.6226709,11,16,0,334,778,21097,18919,4290,43494,986,7055,0,59.7126531,1634,1709,151357,192702,0,311324,382443,21431,59.7126531,9118,15,44.01,56.78,100,NA
2025-2026,April,31,UTTAR PRADESH,3179,MAHOBA,75986,234.9151557,13,3,0,101,240,8653,6967,1503,21493,14,91,0,16.3665389,518,664,44552,80987,0,96976,163668,8754,16.3665389,2465,39,68.7,86.93,100,NA
2025-2026,April,31,UTTAR PRADESH,3110,MORADABAD,77493,698.4267724,13,6,5.00236,813,339,14566,31894,3461,30821,42,113,0,227.7585948,2390,2697,107300,147248,0,191676,264987,15379,222.7562348,11345,17,43.7,51.32,100,NA
2025-2026,April,31,UTTAR PRADESH,3115,MEERUT,38733,259.1505184,12,21,5.03663,1004,357,3966,21819,11013,11781,266,138,0,61.5806816,1692,1807,22377,26487,0,47689,55566,4970,56.5440516,8613,15,28.26,74.67,100,NA
2025-2026,April,31,UTTAR PRADESH,3116,GHAZIABAD,0,252,32,0,0,0,143,16,32,0,13,0,0,0,0.08064,1,2,28,47,0,13071,19282,16,0.08064,16,12,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3124,BUDAUN,205520,317.4091075,10,38,15.8439,571,531,18025,58430,9762,34417,32,158,0,201.3060415,5453,5676,132446,171141,0,235667,297814,18596,185.4621415,18054,15,37.31,41.65,100.05,NA
2025-2026,April,31,UTTAR PRADESH,3135,ETAWAH,56603,361.027217,11,11,33.3634,366,149,10160,36393,8489,35858,19,134,0,164.7520351,3047,3171,77415,97581,0,137156,165426,10526,131.3886351,12688,28,46.15,51.16,100,NA
2025-2026,April,31,UTTAR PRADESH,3136,KANPUR DEHAT,79181,398.6285317,10,10,37.47282,979,325,13477,14793,4352,44591,0,106,0,96.4419387,1462,1548,77832,106480,0,158485,205923,14456,58.9691187,5557,24,30.67,46.55,100,NA
2025-2026,April,31,UTTAR PRADESH,3138,JALAUN,526681,222.9515597,16,138,24.29639,1118,208,21632,378943,101452,82149,84,65,0,869.1557189,23675,29050,176138,258622,0,227111,327049,22750,844.8593289,154771,34,79.39,90.73,100,NA
2025-2026,April,31,UTTAR PRADESH,3139,JHANSI,287805,340.9281161,14,204,102.61735,592,91,16290,107098,35237,54988,1522,1323,0,467.7445438,7595,9335,103214,165074,0,190743,295863,16882,365.1271938,47345,39,51.43,59.68,100,NA
2025-2026,April,31,UTTAR PRADESH,3140,LALITPUR,337588,257.3938326,12,17,3.7978,1066,77,16879,104988,21922,54720,3973,15083,0,274.030437,8357,10329,126341,214375,0,188229,306824,17945,270.232637,45643,40,32.63,67.33,100,NA
2025-2026,April,31,UTTAR PRADESH,3141,HAMIRPUR,360562,251.6018412,14,11,3.2859,159,151,14119,92014,15555,40356,56,72,0,234.7948182,6340,8186,112716,182081,0,177728,285131,14278,231.5089182,41493,40,50.71,89.28,100,NA
2025-2026,April,31,UTTAR PRADESH,3150,SULTANPUR,471456,291.3150204,14,59,51.99986,963,264,22209,364392,86156,73014,1016,591,0,1113.528489,25666,27243,204792,277662,0,346217,468839,23172,1061.528629,182895,26,45.96,80.55,100,NA
2025-2026,April,31,UTTAR PRADESH,3162,MIRZAPUR,236706,282.8261596,11,41,33.3448,331,376,22742,76770,35172,95696,662,2413,0,250.4704427,6697,7549,142558,216347,0,274022,394361,23073,217.1256427,41427,37,39.48,63.02,100,NA
2025-2026,April,31,UTTAR PRADESH,3168,KANNAUJ,117926,322.572072,13,15,37.36089,421,143,12260,58205,17430,37932,105,19,0,225.1139645,4373,4611,88936,114102,0,139851,174073,12681,187.7530745,23158,22,68.95,83.24,100,NA
2025-2026,April,31,UTTAR PRADESH,3177,CHITRAKOOT,90288,274.7642042,13,38,35.38015,871,106,12175,33103,14291,57937,21,26,0,126.3353445,2402,2760,79456,131704,0,142842,228782,13046,90.9551945,18080,55,35.16,43.72,100.12,NA
2025-2026,April,31,UTTAR PRADESH,3182,HAPUR,4161,23.43367347,8,0,0.1214,55,271,1230,196,6,4414,0,4,0,0.16733,22,22,8189,9677,0,16788,20444,1285,0.04593,104,5,3.06,100,100,NA
2025-2026,May,31,UTTAR PRADESH,3109,BIJNOR,476875,279.5133806,8,60,28.67537,406,473,19548,122791,41153,111984,547,1033,0,371.8926452,14401,16009,179103,261142,0,267381,371178,19954,343.2172752,41755,12,54.81,70.84,100.01,NA
2025-2026,May,31,UTTAR PRADESH,3114,MUZAFFARNAGAR,56445,242.9151791,8,6,9.0518,862,277,4450,16752,3743,11179,25,75,0,49.7449508,1962,2222,31547,40402,0,78725,95462,5312,40.6931508,6119,8,57.59,64.31,100,NA
2025-2026,May,31,UTTAR PRADESH,3125,BAREILLY,502069,295.5188094,12,59,15.3921,1219,546,23300,120750,20755,53150,57,158,0,372.2310623,9831,10824,160013,234847,0,279338,383998,24519,356.8389623,28919,27,22.76,52,100.01,NA
2025-2026,May,31,UTTAR PRADESH,3127,SHAHJAHANPUR,568112,296.9554421,11,108,0.1501,908,449,18269,66623,17874,66946,174,82,0,197.9907242,5639,6004,160844,226155,0,342289,446469,19177,197.8406242,25853,21,29.6,32.03,100,NA
2025-2026,May,31,UTTAR PRADESH,3132,LUCKNOW,61422,325.2738527,8,3,12.55984,254,302,10581,9191,5580,47616,26,223,0,42.4557598,1062,1152,49231,72792,0,130592,194247,10835,29.8959198,2288,12,49.31,45.13,100.04,NA
2025-2026,May,31,UTTAR PRADESH,3156,MAU,861902,310.1410369,13,102,10.57734,1742,143,16285,186744,64272,69162,3320,2637,0,589.747118,13734,14719,140953,190719,0,250433,323094,18027,579.169778,103162,23,38.55,82.52,100,NA
2025-2026,May,31,UTTAR PRADESH,3163,SONBHADRA,525062,277.0212071,12,57,100.30118,654,110,17568,83020,24435,76784,24150,77556,0,330.2841861,6522,7711,163649,255549,0,275297,415260,18222,229.9830061,46045,40,51.12,55.62,100,NA
2025-2026,May,31,UTTAR PRADESH,3165,BAGHPAT,2435,256.2321429,16,0,0,26,242,1749,280,0,1520,0,4,0,0.71745,17,20,3520,4581,0,17499,21484,1775,0.71745,154,5,100,100,100,NA
2025-2026,May,31,UTTAR PRADESH,3166,HATHRAS,87405,420.3532465,7,7,9.3914,411,291,6072,7334,2161,21543,0,51,0,40.2201071,985,1054,47489,64762,0,80749,104588,6483,30.8287071,1945,4,51.34,53.44,100,NA
2025-2026,May,31,UTTAR PRADESH,3167,AMROHA,357950,676.0878693,6,0,90.82086,257,177,15616,8204,1989,38927,0,84,0,146.2871088,1281,1346,100980,142177,0,147311,200405,15873,55.4662488,1261,22,27.5,61.94,100,NA
2025-2026,April,31,UTTAR PRADESH,3111,RAMPUR,209191,307.0531973,12,7,0,674,322,12928,112235,16614,34336,67,65,0,344.621156,8925,9729,111411,145296,0,171093,216331,13602,344.621156,32581,9,74.39,84.02,100,NA
2025-2026,April,31,UTTAR PRADESH,3114,MUZAFFARNAGAR,23951,248.0888622,7,0,0,585,413,4642,7277,1822,11064,18,74,0,18.0534265,941,1048,31547,40140,0,78637,94791,5227,18.0534265,2504,8,42.8,49.69,100,NA
2025-2026,April,31,UTTAR PRADESH,3115,MEERUT,38733,253.8296041,12,21,0,648,427,4132,6214,3044,11750,140,138,0,15.7729716,481,535,22386,26433,0,47694,55429,4780,15.7729716,2260,15,47.08,68.22,100,NA
2025-2026,April,31,UTTAR PRADESH,3120,AGRA,169365,660.7104593,11,7,0,49,473,14281,19291,5909,50398,98,706,0,127.4576547,1654,1959,117153,167396,0,184369,254011,14330,127.4576547,7226,24,27.58,45.52,100,NA
2025-2026,April,31,UTTAR PRADESH,3121,FIROZABAD,273904,253.4360699,13,19,0,708,382,14059,35671,10346,34208,0,208,0,90.4031805,2693,2723,107190,132741,0,157700,192894,14767,90.4031805,16698,18,77.5,80.72,100,NA
2025-2026,April,31,UTTAR PRADESH,3123,MAINPURI,288925,262.2397932,14,21,0,324,206,13945,116862,29379,43183,471,318,0,306.4586671,8233,8807,123448,162308,0,199057,253450,14269,306.4586671,45968,26,63.02,73.79,100,NA
2025-2026,April,31,UTTAR PRADESH,3124,BUDAUN,205520,304.7037742,10,20,0,321,709,18070,38392,6176,34369,30,158,0,116.981873,3832,3964,132330,170922,0,234508,295918,18391,116.981873,11997,15,33.25,45.69,100,NA
2025-2026,April,31,UTTAR PRADESH,3126,PILIBHIT,96788,439.3068731,10,26,0,1351,441,15643,24302,4350,38786,204,573,0,106.7603563,2281,2537,136966,214187,0,245757,361182,16994,106.7603563,8527,18,16.24,42.7,100.19,NA
2025-2026,April,31,UTTAR PRADESH,3128,KHERI,605295,341.3760174,9,31,0,664,673,28846,66504,20991,136301,502,6413,0,227.0287066,6990,7698,247271,365324,0,490673,682428,29510,227.0287066,23075,24,39.09,68.9,100,NA
2025-2026,April,31,UTTAR PRADESH,3133,RAE BARELI,106379,376.3213863,8,13,0,502,585,22004,23581,11034,125267,8,141,0,88.7403461,2733,2885,154577,243575,0,303430,437919,22506,88.7403461,9492,12,45.08,48.12,100,NA
